StrikeX,StrikeY,StrikeZ,LycaonX,LycaonY,LycaonZ,ElapsedTime
4.588673,0.8357829,-484.5766,2.951368,0.5508039,-486.3912,3.686651
3.279379,3.286037,-471.3562,3.524583,0.3174458,-471.1549,6.39151
-3.635498,0.6614804,-450.0226,-0.9291812,0.7179434,-443.7943,12.51991
4.192174,1.218509,-431.4997,1.660547,1.898069,-433.4896,15.58662
5.572719,6.329587,-413.7785,8.943962,2.922439,-403.5014,19.95329
-6.48772,3.540356,-385.3788,-6.478005,0.8177578,-385.0353,24.5533
7.945869,0.6556531,-369.4391,7.82645,2.035863,-378.0554,27.71993
15.87631,1.914799,-365.3148,15.83469,0.7116351,-368.2199,30.5533
0.05245984,0.8490673,-354.7493,-6.007164,0.9915333,-352.7894,33.51985
-1.005942,2.132211,-344.9464,0.1012969,0.5928485,-345.6896,36.65307
7.467592,2.999527,-473.3306,5.769993,1.831832,-474.4005,3.564032
-8.258491,0.7730565,-469.7355,-6.408941,0.62168,-460.9432,6.563965
13.52594,2.739949,-450.4382,12.81878,0.5699496,-452.6839,9.663935
2.196552,2.141087,-450.2392,2.560526,0.5150154,-449.7142,14.86396
4.340179,1.433063,-441.4254,2.158753,1.185116,-445.9451,17.8973
6.867663,1.04082,-425.1889,5.626283,0.9295864,-430.1765,22.63067
2.778881,-7.790146,-410.7251,3.306825,-9.088165,-410.1608,25.59728
11.60697,-9.430992,-393.5615,10.62628,-9.418535,-399.1929,28.39728
2.289645,8.231907,-379.9208,1.873218,6.490809,-379.6184,31.43057
7.292308,1.278241,-475.3233,5.941142,1.172871,-477.1635,3.133298
4.983463,0.7158794,-463.0772,3.988013,0.2803669,-466.8071,6.233272
1.636687,2.996948,-426.7475,1.617502,0.602128,-426.028,12.36658
12.70795,1.034001,-412.76,9.966053,3.543825,-421.2647,15.43324
11.33387,1.734861,-407.2413,9.83205,5.41516,-399.6351,18.36656
0.9650011,1.273298,-378.498,-0.3373576,1.309561,-383.8889,21.4999
12.50201,0.6496948,-369.5628,8.899237,2.518904,-365.3309,24.23327
6.746305,3.708687,-352.4244,6.647667,0.8475213,-351.9585,27.09986
